2311573.04345000, 5035476.75630000
2312082.35008773, 5035154.24136600
2311953.41380000, 5034888.61180000
2311299.42490000, 5035278.92030000
2312535.83425000, 5034864.97045000
2311932.26895000, 5035409.18595000
2311933.65685000, 5035408.06700000
2313651.11455000, 5033952.61835000
2312004.32217142, 5034899.67591184
2311921.99805000, 5035391.09930000
2311508.49627637, 5035829.53583872
2310525.88335000, 5035707.73725000
2310789.10811920, 5034985.83498140
2311726.78401008, 5034734.90558758
2310976.66252168, 5035518.85559833
2313336.24235971, 5034131.06750409
2311518.63595353, 5035142.77054692
2312396.49299587, 5034867.68923096
2311204.80089932, 5034210.27219751
2312907.02850000, 5034440.42920000
2311522.08170000, 5035608.76870000
2312528.63590000, 5034575.98935000
2310475.25210000, 5034653.83640000
2311150.38284948, 5035370.77509941
2310869.34122773, 5035461.65168191
2311392.13407921, 5035350.14397411
2311841.40880297, 5035115.37360662
2310688.59699377, 5035992.83145246
2313468.67560421, 5034472.43801275
2313305.10527370, 5034278.82665778
2313176.06501354, 5034239.51045443
2311943.34640649, 5034983.12270437
2311994.21150000, 5035308.19500000
2311087.58014010, 5035228.80302911
2311903.21850000, 5034800.24960000
2313149.80040000, 5034309.09010000
2310367.27620000, 5034594.04940000
2312969.19000000, 5034374.03330000
2310939.35890000, 5035231.64180000
2311644.16470000, 5034668.67510000
2313326.62120000, 5034397.26130000
2311880.03020000, 5035266.49910000
2311881.37020000, 5035266.38910000
2310968.15445000, 5033588.48300000
2310933.10710000, 5035524.21280000
2310435.88200000, 5036092.85205000
2310397.98990000, 5034019.52270000
2310401.73990000, 5034017.58270000
2310138.98850000, 5034622.81330000
2310405.79500000, 5034015.46270000
2310398.91490000, 5034019.02270000
2310139.07350000, 5034622.54330000
2311729.77850000, 5035114.73490000
2311723.99850000, 5035095.46450000
2310567.05730000, 5033929.32710000
2310457.44715463, 5035379.94197367
2311722.65850000, 5035091.30440000
2311721.68850000, 5035088.32930000
2311732.01345000, 5035122.20010000
2311249.74915000, 5035250.37940000
2311076.27150000, 5035989.41840000
2310683.53500000, 5034563.40610000
2313649.77450000, 5033989.04515000
2310534.28655000, 5034509.76710000
2312612.17040000, 5034963.32015000
2311091.11780000, 5034968.11565000
2311420.67990000, 5035132.86135000
2311271.67510000, 5035033.43910000
2311274.27755000, 5035089.70580000
2311483.21620000, 5035167.40220000
2312612.39920000, 5034966.81170000
2310208.33200201, 5034538.92565733
2310395.11545000, 5035288.00635000
2311159.35120000, 5035247.35140000
2312052.29040000, 5035059.55705000
2312053.91785000, 5035055.77665000
2311914.02402667, 5034786.89414030
2311911.33155000, 5034802.87785000
2311924.57605000, 5034800.01200000
2311119.38680101, 5035959.53835282
2311397.45714747, 5035294.53074703
2311930.93839263, 5035387.48394279
2312127.86827031, 5034671.85435101
2311461.76575563, 5035209.91704553
2311280.54985149, 5034491.59549958
2311999.62880000, 5035020.53490000
2311507.03380000, 5035234.83080000
2311599.84870000, 5035217.21985000
2311388.71851376, 5035743.51664524
2312116.36220000, 5035016.58110000
2310737.68880000, 5034647.49395000
2313384.31760000, 5034155.18910000
2310823.93975000, 5035724.30115000
2311428.92105000, 5034562.58220000
2311545.04220000, 5034790.75690000
2311710.93445000, 5035268.63865000
2311701.98522570, 5035267.96524469
2312582.11550000, 5034660.60430000
2311945.16340000, 5034934.09770000
2311315.55755000, 5034216.55890000
2310738.18490000, 5035495.42925000
2311753.97130000, 5034858.46860000
2311367.73310000, 5035544.09650000
2311787.62355000, 5035265.86345000
2311765.22320000, 5035260.40320000
2312018.31765666, 5035563.41546664
2311689.72819759, 5034768.81869856
2310986.73259588, 5035648.01899883
2311420.98265000, 5035888.84930000
2312885.01695004, 5034414.88859010
2310796.13615293, 5035269.51549723
2312683.96815000, 5034671.22425000
2310501.39880000, 5036157.92780000
2310991.13990000, 5034382.13460000
2313406.43680000, 5034526.37950000
2311767.70320000, 5033650.67995000
2311821.05570000, 5035006.71330000
2313190.56440000, 5034293.98820000
2311415.63690000, 5034466.10930000
2311189.78225770, 5034931.29829929
2311496.01520000, 5034666.83140000
2311467.85577201, 5034678.42792922
2311233.56010000, 5034237.89830000
2311872.04810000, 5034840.92520000
2310678.41686495, 5034802.66193577
2310793.50815028, 5035407.04489905
2311049.03980000, 5034572.23890000
2312030.04185000, 5035221.10170000
2313110.17220000, 5034418.41020000
2313202.85490000, 5034254.80250000
2311768.42080000, 5035243.99505000
2311777.38925000, 5035249.49500000
2313238.33045000, 5034263.19290000
2311437.85705000, 5034434.68340000
2311949.36350000, 5034927.74260000
2311233.48545461, 5035619.46721643
2312180.76546027, 5034797.28308675
2311680.02234099, 5035514.81928337
2312854.20839984, 5034381.10034997
2311613.34164234, 5035633.11604045
2312477.10925300, 5034611.51359857
2310786.05587240, 5034633.83120172
2310358.77380000, 5035003.80780000
2311639.40869308, 5035507.08283905
2310745.17960010, 5034428.38381951
2311074.14391462, 5034685.51073810
2313312.91538106, 5034417.84894670
2311139.49715975, 5034639.43485983
2311147.87126248, 5034099.65624021
2310991.97539361, 5034835.74725660
2310958.49665000, 5035642.82540000
2313218.48535000, 5034227.10700000
2311367.28605000, 5035275.70570000
2311474.60170000, 5035474.06555000
2310124.74370000, 5034553.35175000
2311548.56435000, 5033652.68340000
2311319.39960000, 5035380.52250000
2311706.07990000, 5035014.61060000
2312233.54635000, 5035130.04280000
2312583.39595000, 5034896.78675000
2311946.46584091, 5035446.25055261
2312681.43644725, 5034663.17263676
2311185.94994694, 5034395.04573891
2310619.89570933, 5034529.93039445
