(2311716.0297, 5034879.695)
(2311731.1997999996, 5034901.2455)
(2303326.4825, 5042257.3204)
(2303310.3623, 5042271.180600001)
(2307661.022, 5042693.7051)
(2307670.6862000003, 5042659.9636)
(2302308.2328000003, 5043568.9043000005)
(2302337.893, 5043541.183800001)
(2308043.4654, 5043778.287699999)
(2308059.0656000003, 5043758.2074)
(2308521.7616, 5018336.889599999)
(2308542.592, 5018329.3105999995)
(2309472.5037000002, 5021492.517100001)
(2309481.7468999997, 5021482.445499999)
(2308259.2109000003, 5016492.3638)
(2308264.1043999996, 5016492.045399999)
(2309772.8652999997, 5021989.8959)
(2309790.1023000004, 5021985.7993)
(2310651.2801, 5033623.1414)
(2310641.653, 5033588.651900001)
(2311070.4848999996, 5034644.830399999)
(2311030.3290999997, 5034628.455)
(2309934.2314999998, 5034647.27)
(2309934.2010000004, 5034647.261700001)
(2312186.3786000004, 5034784.566299999)
(2312238.5993999997, 5034799.057)
(2311689.0898, 5034788.9629)
(2311655.3992999997, 5034771.782299999)
(2310579.6039000005, 5034547.49)
(2310578.8938999996, 5034547.380000001)
(2310806.8945000004, 5034549.283299999)
(2310814.4168999996, 5034495.5507)
(2310082.5681999996, 5034550.6764)
(2310076.6481, 5034562.5966)
(2310104.6079, 5034648.3386)
(2310127.4984999998, 5034592.5176)
(2313469.6421, 5034648.3825)
(2313470.8120999997, 5034650.512499999)
(2311634.8696999997, 5034648.9496)
(2311632.4296000004, 5034654.1697)
(2312057.5871, 5034651.9627)
(2312061.7775999997, 5034591.951400001)
(2311299.3114, 5035031.585200001)
(2311291.3712999998, 5035027.335000001)
(2311303.4814, 5035033.825300001)
(2311307.3315000003, 5035027.915200001)
(2310523.2783000004, 5033675.691500001)
(2310539.2682, 5033717.432499999)
(2310771.5012, 5033681.8135)
(2310761.5212000003, 5033660.323000001)
(2312454.7423, 5034956.341700001)
(2312453.7621999998, 5034956.3717)
(2311863.8118000003, 5034957.2676)
(2311883.4340000004, 5034995.4616)
(2310791.2052999996, 5034958.042400001)
(2310779.2883, 5034938.057700001)
(2311653.516, 5033683.969799999)
(2311680.4068, 5033630.448899999)
(2313160.8573000003, 5032956.2853999995)
(2313170.0073999995, 5032970.3058)
(2313231.3386000004, 5032961.546)
(2313249.8187999995, 5032972.0064)
(2311650.6659000004, 5033690.3599)
(2311673.0763, 5033692.540100001)
(2311690.2970000003, 5033634.269099999)
(2313170.5774, 5032973.455800001)
(2313197.2278000005, 5032976.7861)
(2313121.2565, 5032980.545600001)
(2313132.4968, 5032967.0954)
(2313119.8663999997, 5032988.8158)
(2313130.4765999997, 5032983.3258)
(2313583.8435000004, 5033701.4432)
(2313542.7598, 5033632.272)
(2311142.7271, 5034954.9246)
(2311159.1293, 5034967.3029)
(2311066.2177, 5034955.172)
(2311043.9374, 5034939.8215)
(2312510.9633, 5034955.4121)
(2312498.653, 5034955.402000001)
(2311014.4080999997, 5034955.5042)
(2311030.4572, 5034943.3215)
(2312053.1745999996, 5035041.070699999)
(2312052.8846000005, 5035041.5407)
(2311632.2271999996, 5035042.1877)
(2311651.8224, 5035026.935900001)
(2311651.2478, 5035059.3047)
(2310756.743, 5035042.991599999)
(2310778.2632999998, 5035025.4113)
(2312123.0569, 5034894.955700001)
(2312128.3669, 5034886.298)
(2310461.8405999998, 5034895.5163)
(2310463.1706, 5034897.4464)
(2311785.4699, 5034899.0658)
(2311776.0307, 5034885.695499999)
(2311765.2106, 5034872.4352)
(2313456.1438999996, 5037494.371099999)
(2313449.2539, 5037480.0908)
(2311709.4971000003, 5035280.7632)
(2311711.2089, 5035269.5363)
(2313227.8998999996, 5037499.3696)
(2313202.6495000003, 5037485.9592)
(2312724.6511000004, 5037500.4562)
(2312728.6712999996, 5037479.2958)
(2313423.4337, 5037432.639599999)
